,gene_symbol,gene_id
2629,CDK2,ENSG00000123374.11
2630,CDK20,ENSG00000156345.18
2631,CDK2AP1,ENSG00000111328.7
2632,CDK2AP2,ENSG00000167797.8
2633,CDK4,ENSG00000135446.17
2634,CDK5,ENSG00000164885.13
2635,CDK5R1,ENSG00000176749.9
2636,CDK5RAP1,ENSG00000101391.21
2637,CDK5RAP2,ENSG00000136861.18
2638,CDK5RAP3,ENSG00000108465.15
2639,CDK6,ENSG00000105810.10
2640,CDK7,ENSG00000134058.12
2641,CDK8,ENSG00000132964.12
2642,CDK9,ENSG00000136807.14
2643,CDKAL1,ENSG00000145996.11
2644,CDKL1,ENSG00000100490.10
2645,CDKL2,ENSG00000138769.11
2646,CDKL3,ENSG00000006837.12
2647,CDKL4,ENSG00000205111.8
2648,CDKL5,ENSG00000008086.13
2649,CDKN1A,ENSG00000124762.14
2650,CDKN1B,ENSG00000111276.12
2651,CDKN1C,ENSG00000129757.15
2652,CDKN2A,ENSG00000147889.18
2653,CDKN2AIP,ENSG00000168564.6
2654,CDKN2AIPNL,ENSG00000237190.4
2655,CDKN2B,ENSG00000147883.12
2656,CDKN2B-AS1,ENSG00000240498.9
2657,CDKN2C,ENSG00000123080.12
2658,CDKN2D,ENSG00000129355.7
2659,CDKN3,ENSG00000100526.20
2660,CDNF,ENSG00000185267.10
2661,CDO1,ENSG00000129596.5
2662,CDON,ENSG00000064309.16
2663,CDPF1,ENSG00000205643.11
2664,CDR2,ENSG00000140743.8
2665,CDR2L,ENSG00000109089.7
2666,CDRT1,ENSG00000241322.11
2667,CDRT4,ENSG00000239704.11
2668,CDS1,ENSG00000163624.6
2669,CDS2,ENSG00000101290.14
2670,CDSN,ENSG00000204539.4
2671,CDT1,ENSG00000167513.9
2672,CDV3,ENSG00000091527.16
2673,CDX1,ENSG00000113722.17
2674,CDX2,ENSG00000165556.10
2675,CDYL,ENSG00000153046.18
2676,CDYL2,ENSG00000166446.15
2677,CEACAM1,ENSG00000079385.23
2678,CEACAM16,ENSG00000213892.12
2679,CEACAM19,ENSG00000186567.13
2680,CEACAM21,ENSG00000007129.18
2681,CEACAM3,ENSG00000170956.17
2682,CEACAM4,ENSG00000105352.10
2683,CEACAM5,ENSG00000105388.16
2684,CEACAM6,ENSG00000086548.9
2685,CEACAM7,ENSG00000007306.15
2686,CEACAM8,ENSG00000124469.12
2687,CEBPA,ENSG00000245848.3
2688,CEBPA-DT,ENSG00000267296.2
2689,CEBPB,ENSG00000172216.6
2690,CEBPB-AS1,ENSG00000277449.1
2691,CEBPD,ENSG00000221869.5
2692,CEBPE,ENSG00000092067.6
2693,CEBPG,ENSG00000153879.9
2694,CEBPZ,ENSG00000115816.15
2695,CEBPZOS,ENSG00000218739.10
2696,CECR2,ENSG00000099954.19
2697,CEL,ENSG00000170835.17
2698,CELA1,ENSG00000139610.2
2699,CELA2A,ENSG00000142615.8
2700,CELA2B,ENSG00000215704.10
2701,CELF1,ENSG00000149187.18
2702,CELF2,ENSG00000048740.18
2703,CELF3,ENSG00000159409.15
2704,CELF4,ENSG00000101489.20
2705,CELF5,ENSG00000161082.13
2706,CELSR1,ENSG00000075275.18
2707,CELSR2,ENSG00000143126.8
2708,CELSR3,ENSG00000008300.17
2709,CEMIP,ENSG00000103888.17
2710,CEMIP2,ENSG00000135048.14
2711,CEMP1,ENSG00000205923.3
2712,CENATAC,ENSG00000186166.9
2713,CEND1,ENSG00000184524.6
2714,CENPA,ENSG00000115163.15
2715,CENPB,ENSG00000125817.8
2716,CENPBD1,ENSG00000177946.7
2717,CENPC,ENSG00000145241.11
2718,CENPE,ENSG00000138778.13
2719,CENPF,ENSG00000117724.13
2720,CENPH,ENSG00000153044.10
2721,CENPI,ENSG00000102384.14
2722,CENPJ,ENSG00000151849.16
2723,CENPK,ENSG00000123219.13
2724,CENPL,ENSG00000120334.16
2725,CENPM,ENSG00000100162.15
2726,CENPN,ENSG00000166451.14
2727,CENPO,ENSG00000138092.11
2728,CENPP,ENSG00000188312.14
2729,CENPQ,ENSG00000031691.7
2730,CENPT,ENSG00000102901.13
2731,CENPU,ENSG00000151725.12
2732,CENPV,ENSG00000166582.10
2733,CENPW,ENSG00000203760.9
2734,CENPX,ENSG00000169689.15
2735,CEP104,ENSG00000116198.14
2736,CEP112,ENSG00000154240.17
2737,CEP120,ENSG00000168944.17
2738,CEP126,ENSG00000110318.15
2739,CEP128,ENSG00000100629.17
2740,CEP131,ENSG00000141577.14
2741,CEP135,ENSG00000174799.11
2742,CEP152,ENSG00000103995.14
2743,CEP162,ENSG00000135315.12
2744,CEP164,ENSG00000110274.16
2745,CEP170,ENSG00000143702.16
2746,CEP170B,ENSG00000099814.16
2747,CEP19,ENSG00000174007.9
2748,CEP192,ENSG00000101639.18
2749,CEP20,ENSG00000133393.13
2750,CEP250,ENSG00000126001.16
2751,CEP290,ENSG00000198707.17
2752,CEP295,ENSG00000166004.15
2753,CEP295NL,ENSG00000178404.10
2754,CEP350,ENSG00000135837.16
2755,CEP41,ENSG00000106477.20
2756,CEP43,ENSG00000213066.13
2757,CEP44,ENSG00000164118.13
2758,CEP55,ENSG00000138180.16
2759,CEP57,ENSG00000166037.11
2760,CEP57L1,ENSG00000183137.15
2761,CEP63,ENSG00000182923.20
2762,CEP68,ENSG00000011523.14
2763,CEP70,ENSG00000114107.9
2764,CEP72,ENSG00000112877.8
2765,CEP76,ENSG00000101624.11
2766,CEP78,ENSG00000148019.14
2767,CEP83,ENSG00000173588.15
2768,CEP83-DT,ENSG00000278916.1
2769,CEP85,ENSG00000130695.16
2770,CEP85L,ENSG00000111860.14
2771,CEP89,ENSG00000121289.18
2772,CEP95,ENSG00000258890.7
2773,CEP97,ENSG00000182504.11
2774,CEPT1,ENSG00000134255.14
2775,CERCAM,ENSG00000167123.19
2776,CERK,ENSG00000100422.14
2777,CERKL,ENSG00000188452.15
2778,CERS1,ENSG00000223802.9
2779,CERS2,ENSG00000143418.20
2780,CERS3,ENSG00000154227.14
2781,CERS3-AS1,ENSG00000259430.2
2782,CERS4,ENSG00000090661.12
2783,CERS5,ENSG00000139624.14
2784,CERS6,ENSG00000172292.15
2785,CERT1,ENSG00000113163.19
2786,CES1,ENSG00000198848.13
2787,CES2,ENSG00000172831.14
2788,CES3,ENSG00000172828.13
2789,CES4A,ENSG00000172824.16
2790,CETN2,ENSG00000147400.10
2791,CETN3,ENSG00000153140.9
2792,CETP,ENSG00000087237.12
2793,CFAP100,ENSG00000163885.12
2794,CFAP126,ENSG00000188931.4
2795,CFAP157,ENSG00000160401.15
2796,CFAP161,ENSG00000156206.14
2797,CFAP20,ENSG00000070761.8
2798,CFAP206,ENSG00000272514.6
2799,CFAP20DC,ENSG00000163689.20
2800,CFAP221,ENSG00000163075.13
2801,CFAP251,ENSG00000158023.10
2802,CFAP298,ENSG00000159079.19
2803,CFAP299,ENSG00000197826.12
2804,CFAP300,ENSG00000137691.13
2805,CFAP36,ENSG00000163001.12
2806,CFAP410,ENSG00000160226.16
2807,CFAP418,ENSG00000156172
2808,CFAP43,ENSG00000197748.13
2809,CFAP44,ENSG00000206530.11
2810,CFAP45,ENSG00000213085.10
2811,CFAP46,ENSG00000171811.14
2812,CFAP47,ENSG00000165164.14
2813,CFAP52,ENSG00000166596.15
2814,CFAP53,ENSG00000172361.6
2815,CFAP54,ENSG00000188596.11
2816,CFAP57,ENSG00000243710.8
2817,CFAP58,ENSG00000120051.15
2818,CFAP58-DT,ENSG00000231233.1
2819,CFAP61,ENSG00000089101.19
2820,CFAP65,ENSG00000181378.14
2821,CFAP69,ENSG00000105792.19
2822,CFAP70,ENSG00000156042.18
2823,CFAP73,ENSG00000186710.12
2824,CFAP74,ENSG00000142609.19
2825,CFAP77,ENSG00000188523.9
2826,CFAP91,ENSG00000183833.16
2827,CFAP92,ENSG00000114656.12
2828,CFAP97,ENSG00000164323.14
2829,CFAP97D1,ENSG00000231256.8
2830,CFAP99,ENSG00000206113.11
2831,CFB,ENSG00000243649.9
2832,CFD,ENSG00000197766.8
2833,CFDP1,ENSG00000153774.9
2834,CFH,ENSG00000000971.16
2835,CFHR3,ENSG00000116785.14
2836,CFI,ENSG00000205403.14
2837,CFL1,ENSG00000172757.13
2838,CFL2,ENSG00000165410.15
2839,CFLAR,ENSG00000003402.20
2840,CFLAR-AS1,ENSG00000226312.7
2841,CFP,ENSG00000126759.14
2842,CFTR,ENSG00000001626.16
2843,CGA,ENSG00000135346.9
2844,CGAS,ENSG00000164430.17
2845,CGB7,ENSG00000196337.13
2846,CGGBP1,ENSG00000163320.12
2847,CGN,ENSG00000143375.15
2848,CGNL1,ENSG00000128849.11
2849,CGREF1,ENSG00000138028.16
2850,CGRRF1,ENSG00000100532.13
2851,CH25H,ENSG00000138135.7
2852,CHAC1,ENSG00000128965.13
2853,CHAC2,ENSG00000143942.5
2854,CHAD,ENSG00000136457.10
2855,CHADL,ENSG00000100399.16
2856,CHAF1A,ENSG00000167670.16
2857,CHAF1B,ENSG00000159259.8
2858,CHAMP1,ENSG00000198824.7
2859,CHCHD1,ENSG00000172586.8
2860,CHCHD10,ENSG00000250479.9
2861,CHCHD2,ENSG00000106153.13
2862,CHCHD3,ENSG00000106554.13
2863,CHCHD4,ENSG00000163528.13
2864,CHCHD5,ENSG00000125611.15
2865,CHCHD6,ENSG00000159685.11
2866,CHCHD7,ENSG00000170791.18
2867,CHD1,ENSG00000153922.11
2868,CHD1L,ENSG00000131778.19
2869,CHD2,ENSG00000173575.22
2870,CHD3,ENSG00000170004.18
2871,CHD4,ENSG00000111642.16
2872,CHD5,ENSG00000116254.18
2873,CHD6,ENSG00000124177.16
2874,CHD7,ENSG00000171316.12
2875,CHD8,ENSG00000100888.15
2876,CHD9,ENSG00000177200.18
2877,CHDH,ENSG00000016391.11
2878,CHEK1,ENSG00000149554.14
2879,CHEK2,ENSG00000183765.23
2880,CHERP,ENSG00000085872.15
2881,CHFR,ENSG00000072609.18
2882,CHGA,ENSG00000100604.13
2883,CHGB,ENSG00000089199.10
2884,CHI3L1,ENSG00000133048.13
2885,CHI3L2,ENSG00000064886.14
2886,CHIA,ENSG00000134216.19
2887,CHIC1,ENSG00000204116.11
2888,CHIC2,ENSG00000109220.11
2889,CHID1,ENSG00000177830.18
2890,CHIT1,ENSG00000133063.16
2891,CHKA,ENSG00000110721.12
2892,CHKB,ENSG00000100288.20
2893,CHKB-DT,ENSG00000205559.5
2894,CHL1,ENSG00000134121.10
2895,CHM,ENSG00000188419.14
2896,CHML,ENSG00000203668.3
2897,CHMP1A,ENSG00000131165.16
2898,CHMP1B,ENSG00000255112.3
2899,CHMP2A,ENSG00000130724.9
2900,CHMP2B,ENSG00000083937.10
2901,CHMP3,ENSG00000115561.16
2902,CHMP4A,ENSG00000254505.11
2903,CHMP4B,ENSG00000101421.4
2904,CHMP4C,ENSG00000164695.5
2905,CHMP5,ENSG00000086065.14
2906,CHMP6,ENSG00000176108.9
2907,CHMP7,ENSG00000147457.14
2908,CHN1,ENSG00000128656.15
2909,CHN2,ENSG00000106069.23
2910,CHODL,ENSG00000154645.14
2911,CHORDC1,ENSG00000110172.12
2912,CHP1,ENSG00000187446.12
2913,CHP2,ENSG00000166869.3
2914,CHPF,ENSG00000123989.14
2915,CHPF2,ENSG00000033100.16
2916,CHPT1,ENSG00000111666.11
2917,CHRAC1,ENSG00000104472.10
2918,CHRD,ENSG00000090539.15
2919,CHRDL1,ENSG00000101938.15
2920,CHRDL2,ENSG00000054938.16
2921,CHRFAM7A,ENSG00000166664.14
2922,CHRM1,ENSG00000168539.4
2923,CHRM2,ENSG00000181072.12
2924,CHRM3,ENSG00000133019.12
2925,CHRM3-AS2,ENSG00000233355.7
2926,CHRNA1,ENSG00000138435.16
2927,CHRNA10,ENSG00000129749.3
2928,CHRNA2,ENSG00000120903.13
2929,CHRNA3,ENSG00000080644.16
2930,CHRNA5,ENSG00000169684.13
2931,CHRNA6,ENSG00000147434.9
2932,CHRNA7,ENSG00000175344.19
2933,CHRNA9,ENSG00000174343.6
2934,CHRNB1,ENSG00000170175.11
2935,CHRNB4,ENSG00000117971.12
2936,CHRNE,ENSG00000108556.10
2937,CHST1,ENSG00000175264.8
2938,CHST10,ENSG00000115526.11
2939,CHST11,ENSG00000171310.11
2940,CHST12,ENSG00000136213.10
2941,CHST13,ENSG00000180767.10
2942,CHST14,ENSG00000169105.8
2943,CHST15,ENSG00000182022.18
2944,CHST2,ENSG00000175040.6
2945,CHST3,ENSG00000122863.6
2946,CHST4,ENSG00000140835.10
2947,CHST6,ENSG00000183196.10
2948,CHST7,ENSG00000147119.4
2949,CHST8,ENSG00000124302.13
2950,CHST9,ENSG00000154080.14
2951,CHSY1,ENSG00000131873.7
2952,CHSY3,ENSG00000198108.4
2953,CHTF18,ENSG00000127586.17
2954,CHTF8,ENSG00000168802.14
2955,CHTOP,ENSG00000160679.13
2956,CHUK,ENSG00000213341.11
2957,CHURC1,ENSG00000258289.10
2958,CIAO1,ENSG00000144021.3
2959,CIAO2A,ENSG00000166797.11
2960,CIAO2B,ENSG00000166595.12
2961,CIAO3,ENSG00000103245.14
2962,CIAPIN1,ENSG00000005194.15
2963,CIART,ENSG00000159208.16
2964,CIB1,ENSG00000185043.12
2965,CIB2,ENSG00000136425.14
2966,CIB3,ENSG00000141977.9
2967,CIB4,ENSG00000157884.11
2968,CIBAR1,ENSG00000188343.13
2969,CIBAR1-DT,ENSG00000246662
2970,CIBAR2,ENSG00000153789.13
2971,CIC,ENSG00000079432.9
2972,CIDEB,ENSG00000136305.11
2973,CIDEC,ENSG00000187288.12
2974,CIITA,ENSG00000179583.20
2975,CILK1,ENSG00000112144.16
2976,CILP,ENSG00000138615.6
2977,CILP2,ENSG00000160161.9
2978,CINP,ENSG00000100865.15
2979,CIP2A,ENSG00000163507.14
2980,CIPC,ENSG00000198894.8
2981,CIR1,ENSG00000138433.16
2982,CIRBP,ENSG00000099622.14
2983,CIRBP-AS1,ENSG00000267493.4
2984,CISD1,ENSG00000122873.12
2985,CISD2,ENSG00000145354.12
2986,CISD3,ENSG00000277972.2
2987,CISH,ENSG00000114737.16
2988,CIT,ENSG00000122966.17
2989,CITED1,ENSG00000125931.11
2990,CITED2,ENSG00000164442.10
2991,CITED4,ENSG00000179862.7
2992,CIZ1,ENSG00000148337.21
2993,CKAP2,ENSG00000136108.15
2994,CKAP2L,ENSG00000169607.13
2995,CKAP4,ENSG00000136026.14
2996,CKAP5,ENSG00000175216.15
2997,CKB,ENSG00000166165.13
2998,CKLF,ENSG00000217555.13
2999,CKM,ENSG00000104879.5
3000,CKMT1A,ENSG00000223572.10
3001,CKMT1B,ENSG00000237289.10
3002,CKMT2,ENSG00000131730.16
3003,CKMT2-AS1,ENSG00000247572.8
3004,CKS1B,ENSG00000173207.13
3005,CKS2,ENSG00000123975.5
3006,CLASP1,ENSG00000074054.20
3007,CLASP2,ENSG00000163539.18
3008,CLASRP,ENSG00000104859.15
3009,CLBA1,ENSG00000140104.14
3010,CLC,ENSG00000105205.7
3011,CLCA2,ENSG00000137975.8
3012,CLCA4,ENSG00000016602.9
3013,CLCC1,ENSG00000121940.16
3014,CLCF1,ENSG00000175505.11
3015,CLCN1,ENSG00000188037.13
3016,CLCN2,ENSG00000114859.16
3017,CLCN3,ENSG00000109572.14
3018,CLCN4,ENSG00000073464.13
3019,CLCN5,ENSG00000171365.17
3020,CLCN6,ENSG00000011021.23
3021,CLCN7,ENSG00000103249.18
3022,CLCNKA,ENSG00000186510.12
3023,CLCNKB,ENSG00000184908.19
3024,CLDN1,ENSG00000163347.6
3025,CLDN10,ENSG00000134873.10
3026,CLDN11,ENSG00000013297.12
3027,CLDN12,ENSG00000157224.16
3028,CLDN14,ENSG00000159261.12
3029,CLDN15,ENSG00000106404.14
3030,CLDN16,ENSG00000113946.4
3031,CLDN18,ENSG00000066405.13
3032,CLDN19,ENSG00000164007.11
3033,CLDN2,ENSG00000165376.12
3034,CLDN20,ENSG00000171217.5
3035,CLDN22,ENSG00000177300.7
3036,CLDN23,ENSG00000253958.2
3037,CLDN3,ENSG00000165215.6
3038,CLDN4,ENSG00000189143.10
3039,CLDN5,ENSG00000184113.10
3040,CLDN6,ENSG00000184697.7
3041,CLDN7,ENSG00000181885.18
3042,CLDN8,ENSG00000156284.6
3043,CLDN9,ENSG00000213937.4
3044,CLDND1,ENSG00000080822.17
3045,CLDND2,ENSG00000160318.6
3046,CLEC10A,ENSG00000132514.14
3047,CLEC11A,ENSG00000105472.13
3048,CLEC12A,ENSG00000172322.14
3049,CLEC12B,ENSG00000256660.7
3050,CLEC14A,ENSG00000176435.7
3051,CLEC16A,ENSG00000038532.16
3052,CLEC17A,ENSG00000187912.12
3053,CLEC18A,ENSG00000157322.17
3054,CLEC18B,ENSG00000140839.12
3055,CLEC19A,ENSG00000261210.8
3056,CLEC1A,ENSG00000150048.10
3057,CLEC1B,ENSG00000165682.14
3058,CLEC2B,ENSG00000110852.5
3059,CLEC2D,ENSG00000069493.15
3060,CLEC3B,ENSG00000163815.6
3061,CLEC4A,ENSG00000111729.15
3062,CLEC4C,ENSG00000198178.11
3063,CLEC4D,ENSG00000166527.8
3064,CLEC4E,ENSG00000166523.8
3065,CLEC4F,ENSG00000152672.8
3066,CLEC4G,ENSG00000182566.14
3067,CLEC4M,ENSG00000104938.18
3068,CLEC5A,ENSG00000258227.7
3069,CLEC6A,ENSG00000205846.4
3070,CLEC7A,ENSG00000172243.18
3071,CLEC9A,ENSG00000197992.7
3072,CLECL1,ENSG00000184293.7
3073,CLGN,ENSG00000153132.13
3074,CLHC1,ENSG00000162994.16
3075,CLIC1,ENSG00000213719.8
3076,CLIC2,ENSG00000155962.13
3077,CLIC3,ENSG00000169583.13
3078,CLIC4,ENSG00000169504.15
3079,CLIC5,ENSG00000112782.19
3080,CLIC6,ENSG00000159212.13
3081,CLINT1,ENSG00000113282.14
3082,CLIP1,ENSG00000130779.22
3083,CLIP2,ENSG00000106665.16
3084,CLIP3,ENSG00000105270.15
3085,CLIP4,ENSG00000115295.20
3086,CLK1,ENSG00000013441.16
3087,CLK2,ENSG00000176444.19
3088,CLK3,ENSG00000179335.20
3089,CLK4,ENSG00000113240.13
3090,CLLU1,ENSG00000257127.6
3091,CLLU1-AS1,ENSG00000205057.6
3092,CLMN,ENSG00000165959.12
3093,CLMP,ENSG00000166250.12
3094,CLN3,ENSG00000188603.22
3095,CLN5,ENSG00000102805.16
3096,CLN6,ENSG00000128973.13
3097,CLN8,ENSG00000182372.10
3098,CLNK,ENSG00000109684.15
3099,CLNS1A,ENSG00000074201.9
3100,CLOCK,ENSG00000134852.15
3101,CLP1,ENSG00000172409.7
3102,CLPB,ENSG00000162129.14
3103,CLPP,ENSG00000125656.11
3104,CLPSL1,ENSG00000204140.10
3105,CLPTM1,ENSG00000104853.16
3106,CLPTM1L,ENSG00000049656.14
3107,CLPX,ENSG00000166855.9
3108,CLRN3,ENSG00000180745.5
3109,CLSPN,ENSG00000092853.14
3110,CLSTN1,ENSG00000171603.18
3111,CLSTN2,ENSG00000158258.16
3112,CLSTN3,ENSG00000139182.15
3113,CLTA,ENSG00000122705.17
3114,CLTB,ENSG00000175416.16
3115,CLTC,ENSG00000141367.12
3116,CLTCL1,ENSG00000070371.16
3117,CLTRN,ENSG00000147003.7
3118,CLU,ENSG00000120885.22
3119,CLUAP1,ENSG00000103351.13
3120,CLUH,ENSG00000132361.18
3121,CLUL1,ENSG00000079101.16
3122,CLVS1,ENSG00000177182.11
3123,CLYBL,ENSG00000125246.15
3124,CMA1,ENSG00000092009.10
3125,CMAS,ENSG00000111726.13
3126,CMBL,ENSG00000164237.9
3127,CMC1,ENSG00000187118.14
3128,CMC2,ENSG00000103121.9
3129,CMIP,ENSG00000153815.17
3130,CMKLR1,ENSG00000174600.14
3131,CMPK1,ENSG00000162368.14
3132,CMPK2,ENSG00000134326.12
3133,CMSS1,ENSG00000184220.12
3134,CMTM1,ENSG00000089505.18
3135,CMTM2,ENSG00000140932.10
3136,CMTM3,ENSG00000140931.20
3137,CMTM4,ENSG00000183723.13
3138,CMTM5,ENSG00000166091.21
3139,CMTM6,ENSG00000091317.8
3140,CMTM7,ENSG00000153551.14
3141,CMTM8,ENSG00000170293.9
3142,CMTR1,ENSG00000137200.13
3143,CMTR2,ENSG00000180917.18
3144,CMYA5,ENSG00000164309.15
3145,CNBD2,ENSG00000149646.12
3146,CNBP,ENSG00000169714.17
3147,CNDP1,ENSG00000150656.15
3148,CNDP2,ENSG00000133313.15
3149,CNEP1R1,ENSG00000205423.12
3150,CNFN,ENSG00000105427.10
3151,CNGA1,ENSG00000198515.16
3152,CNGA3,ENSG00000144191.12
3153,CNGA4,ENSG00000132259.13
3154,CNGB1,ENSG00000070729.14
3155,CNGB3,ENSG00000170289.13
3156,CNIH1,ENSG00000100528.12
3157,CNIH2,ENSG00000174871.11
3158,CNIH3,ENSG00000143786.8
3159,CNIH4,ENSG00000143771.12
3160,CNKSR1,ENSG00000142675.18
3161,CNKSR2,ENSG00000149970.16
3162,CNKSR3,ENSG00000153721.19
3163,CNMD,ENSG00000136110.13
3164,CNN1,ENSG00000130176.8
3165,CNN2,ENSG00000064666.15
3166,CNN3,ENSG00000117519.16
3167,CNNM1,ENSG00000119946.11
3168,CNNM2,ENSG00000148842.18
3169,CNNM3,ENSG00000168763.16
3170,CNNM4,ENSG00000158158.12
3171,CNOT1,ENSG00000125107.19
3172,CNOT10,ENSG00000182973.19
3173,CNOT11,ENSG00000158435.8
3174,CNOT2,ENSG00000111596.14
3175,CNOT3,ENSG00000088038.19
3176,CNOT4,ENSG00000080802.19
3177,CNOT6,ENSG00000113300.13
3178,CNOT6L,ENSG00000138767.13
3179,CNOT7,ENSG00000198791.12
3180,CNOT8,ENSG00000155508.14
3181,CNOT9,ENSG00000144580.14
3182,CNP,ENSG00000173786.17
3183,CNPPD1,ENSG00000115649.16
3184,CNPY2,ENSG00000257727.6
3185,CNPY3,ENSG00000137161.17
3186,CNPY4,ENSG00000166997.8
3187,CNR1,ENSG00000118432.13
3188,CNR2,ENSG00000188822.8
3189,CNRIP1,ENSG00000119865.9
3190,CNST,ENSG00000162852.14
3191,CNTD1,ENSG00000176563.10
3192,CNTFR,ENSG00000122756.15
3193,CNTLN,ENSG00000044459.15
3194,CNTN1,ENSG00000018236.15
3195,CNTN3,ENSG00000113805.8
3196,CNTN4,ENSG00000144619.15
3197,CNTN5,ENSG00000149972.11
3198,CNTN6,ENSG00000134115.13
3199,CNTNAP1,ENSG00000108797.12
3200,CNTNAP2,ENSG00000174469.23
3201,CNTNAP3,ENSG00000106714.17
3202,CNTNAP3B,ENSG00000154529.15
3203,CNTRL,ENSG00000119397.18
3204,CNTROB,ENSG00000170037.14
3205,COA1,ENSG00000106603.20
3206,COA3,ENSG00000183978.8
3207,COA4,ENSG00000181924.7
3208,COA5,ENSG00000183513.9
3209,COA6,ENSG00000168275.16
3210,COA7,ENSG00000162377.6
3211,COA8,ENSG00000256053.9
3212,COASY,ENSG00000068120.15
3213,COBL,ENSG00000106078.19
3214,COBLL1,ENSG00000082438.18
3215,COCH,ENSG00000100473.18
3216,COG1,ENSG00000166685.12
3217,COG2,ENSG00000135775.14
3218,COG3,ENSG00000136152.15
3219,COG4,ENSG00000103051.20
3220,COG5,ENSG00000164597.15
3221,COG6,ENSG00000133103.17
3222,COG7,ENSG00000168434.13
3223,COG8,ENSG00000213380.16
3224,COIL,ENSG00000121058.5
3225,COL10A1,ENSG00000123500.10
3226,COL11A1,ENSG00000060718.22
3227,COL11A2,ENSG00000204248.12
3228,COL12A1,ENSG00000111799.22
3229,COL13A1,ENSG00000197467.17
3230,COL14A1,ENSG00000187955.12
3231,COL15A1,ENSG00000204291.11
3232,COL16A1,ENSG00000084636.18
3233,COL17A1,ENSG00000065618.21
3234,COL18A1,ENSG00000182871.16
3235,COL19A1,ENSG00000082293.13
3236,COL1A1,ENSG00000108821.14
3237,COL1A2,ENSG00000164692.18
3238,COL21A1,ENSG00000124749.17
3239,COL22A1,ENSG00000169436.17
3240,COL23A1,ENSG00000050767.18
3241,COL24A1,ENSG00000171502.15
3242,COL25A1,ENSG00000188517.16
3243,COL26A1,ENSG00000160963.14
3244,COL27A1,ENSG00000196739.15
3245,COL28A1,ENSG00000215018.10
3246,COL2A1,ENSG00000139219.19
3247,COL3A1,ENSG00000168542.16
3248,COL4A1,ENSG00000187498.16
3249,COL4A2,ENSG00000134871.19
3250,COL4A2-AS2,ENSG00000224821.5
3251,COL4A3,ENSG00000169031.21
3252,COL4A4,ENSG00000081052.14
3253,COL4A5,ENSG00000188153.14
3254,COL4A6,ENSG00000197565.16
3255,COL5A1,ENSG00000130635.16
3256,COL5A2,ENSG00000204262.14
3257,COL5A3,ENSG00000080573.7
3258,COL6A1,ENSG00000142156.16
3259,COL6A2,ENSG00000142173.16
3260,COL6A3,ENSG00000163359.17
3261,COL6A5,ENSG00000172752.14
3262,COL6A6,ENSG00000206384.10
3263,COL7A1,ENSG00000114270.18
3264,COL8A1,ENSG00000144810.16
3265,COL8A2,ENSG00000171812.13
3266,COL9A1,ENSG00000112280.18
3267,COL9A2,ENSG00000049089.15
3268,COL9A3,ENSG00000092758.18
3269,COLCA1,ENSG00000196167.10
3270,COLCA2,ENSG00000214290.8
3271,COLEC10,ENSG00000184374.3
3272,COLEC11,ENSG00000118004.18
3273,COLEC12,ENSG00000158270.12
3274,COLGALT1,ENSG00000130309.11
3275,COLGALT2,ENSG00000198756.12
3276,COLQ,ENSG00000206561.14
3277,COMETT,ENSG00000231210.3
3278,COMMD1,ENSG00000173163.10
3279,COMMD10,ENSG00000145781.9
3280,COMMD2,ENSG00000114744.9
3281,COMMD3,ENSG00000148444.16
3282,COMMD4,ENSG00000140365.16
3283,COMMD5,ENSG00000170619.10
3284,COMMD6,ENSG00000188243.14
3285,COMMD7,ENSG00000149600.12
3286,COMMD8,ENSG00000169019.11
3287,COMMD9,ENSG00000110442.12
3288,COMP,ENSG00000105664.11
3289,COMT,ENSG00000093010.15
3290,COMTD1,ENSG00000165644.11
3291,COP1,ENSG00000143207.21
3292,COPA,ENSG00000122218.16
3293,COPB1,ENSG00000129083.13
3294,COPB2,ENSG00000184432.11
3295,COPE,ENSG00000105669.14
3296,COPG1,ENSG00000181789.14
3297,COPG2,ENSG00000158623.14
3298,COPRS,ENSG00000172301.11
3299,COPS2,ENSG00000166200.15
3300,COPS3,ENSG00000141030.13
3301,COPS4,ENSG00000138663.9
3302,COPS5,ENSG00000121022.14
3303,COPS6,ENSG00000168090.10
3304,COPS7A,ENSG00000111652.10
3305,COPS7B,ENSG00000144524.18
3306,COPS8,ENSG00000198612.11
3307,COPS9,ENSG00000172428.11
3308,COPZ1,ENSG00000111481.10
3309,COPZ2,ENSG00000005243.10
3310,COQ10A,ENSG00000135469.14
3311,COQ10B,ENSG00000115520.8
3312,COQ2,ENSG00000173085.15
3313,COQ3,ENSG00000132423.12
3314,COQ4,ENSG00000167113.11
3315,COQ5,ENSG00000110871.15
3316,COQ6,ENSG00000119723.17
3317,COQ7,ENSG00000167186.11
3318,COQ8A,ENSG00000163050.18
3319,COQ8B,ENSG00000123815.13
3320,COQ9,ENSG00000088682.14
3321,CORIN,ENSG00000145244.12
3322,CORO1A,ENSG00000102879.16
3323,CORO1B,ENSG00000172725.14
3324,CORO1C,ENSG00000110880.11
3325,CORO2A,ENSG00000106789.13
3326,CORO2B,ENSG00000103647.13
3327,CORO6,ENSG00000167549.19
3328,CORO7,ENSG00000262246.6
3329,COTL1,ENSG00000103187.8
3330,COX10,ENSG00000006695.12
3331,COX11,ENSG00000166260.13
3332,COX14,ENSG00000178449.9
3333,COX15,ENSG00000014919.13
